survey,year,species,biomass,cv
BTS_fall_allbox_effic1,1,Blue_whiting,1175091.776607897,0.1
BTS_fall_allbox_effic1,2,Blue_whiting,1585099.6669736854,0.1
BTS_fall_allbox_effic1,3,Blue_whiting,2770014.242620233,0.1
BTS_fall_allbox_effic1,4,Blue_whiting,4817779.480477502,0.1
BTS_fall_allbox_effic1,5,Blue_whiting,5631633.61807713,0.1
BTS_fall_allbox_effic1,6,Blue_whiting,6986609.9375207005,0.1
BTS_fall_allbox_effic1,7,Blue_whiting,7738513.599144112,0.1
BTS_fall_allbox_effic1,8,Blue_whiting,9288219.216536166,0.1
BTS_fall_allbox_effic1,9,Blue_whiting,7980611.410763234,0.1
BTS_fall_allbox_effic1,10,Blue_whiting,11407235.395817753,0.1
BTS_fall_allbox_effic1,11,Blue_whiting,10481453.691520963,0.1
BTS_fall_allbox_effic1,12,Blue_whiting,12806163.810669716,0.1
BTS_fall_allbox_effic1,13,Blue_whiting,13456756.58609269,0.1
BTS_fall_allbox_effic1,14,Blue_whiting,13423794.823751414,0.1
BTS_fall_allbox_effic1,15,Blue_whiting,11326681.903541299,0.1
BTS_fall_allbox_effic1,16,Blue_whiting,9729316.760697018,0.1
BTS_fall_allbox_effic1,17,Blue_whiting,8283020.973245124,0.1
BTS_fall_allbox_effic1,18,Blue_whiting,9001725.936787821,0.1
BTS_fall_allbox_effic1,19,Blue_whiting,7155072.519807858,0.1
BTS_fall_allbox_effic1,20,Blue_whiting,7853856.917725972,0.1
BTS_fall_allbox_effic1,21,Blue_whiting,5359892.186458809,0.1
BTS_fall_allbox_effic1,22,Blue_whiting,6029866.812536975,0.1
BTS_fall_allbox_effic1,23,Blue_whiting,5433803.460428231,0.1
BTS_fall_allbox_effic1,24,Blue_whiting,5934118.032139061,0.1
BTS_fall_allbox_effic1,25,Blue_whiting,5521409.284847753,0.1
BTS_fall_allbox_effic1,26,Blue_whiting,5354747.771707199,0.1
BTS_fall_allbox_effic1,27,Blue_whiting,5224853.703961323,0.1
BTS_fall_allbox_effic1,28,Blue_whiting,6507077.926153761,0.1
BTS_fall_allbox_effic1,29,Blue_whiting,4902876.174520746,0.1
BTS_fall_allbox_effic1,30,Blue_whiting,5010093.55844514,0.1
BTS_fall_allbox_effic1,31,Blue_whiting,4418329.6095037125,0.1
BTS_fall_allbox_effic1,32,Blue_whiting,4887676.800213448,0.1
BTS_fall_allbox_effic1,33,Blue_whiting,4541535.127098839,0.1
BTS_fall_allbox_effic1,34,Blue_whiting,3881298.037597117,0.1
BTS_fall_allbox_effic1,35,Blue_whiting,5733892.731024585,0.1
BTS_fall_allbox_effic1,36,Blue_whiting,4712014.6415340025,0.1
BTS_fall_allbox_effic1,37,Blue_whiting,5553658.542121435,0.1
BTS_fall_allbox_effic1,38,Blue_whiting,5451589.0584798,0.1
BTS_fall_allbox_effic1,39,Blue_whiting,6081984.814731387,0.1
BTS_fall_allbox_effic1,40,Blue_whiting,7195378.772335303,0.1
BTS_fall_allbox_effic1,41,Blue_whiting,6732108.389324951,0.1
BTS_fall_allbox_effic1,42,Blue_whiting,6739127.616540972,0.1
BTS_fall_allbox_effic1,43,Blue_whiting,6704946.277055932,0.1
BTS_fall_allbox_effic1,44,Blue_whiting,6814017.697154079,0.1
BTS_fall_allbox_effic1,45,Blue_whiting,6269595.764162099,0.1
BTS_fall_allbox_effic1,46,Blue_whiting,6221726.031603879,0.1
BTS_fall_allbox_effic1,47,Blue_whiting,7121311.344152943,0.1
BTS_fall_allbox_effic1,48,Blue_whiting,5799258.238732277,0.1
BTS_fall_allbox_effic1,49,Blue_whiting,5612364.995682033,0.1
BTS_fall_allbox_effic1,50,Blue_whiting,4684198.200666054,0.1
BTS_fall_allbox_effic1,51,Blue_whiting,5136203.512787733,0.1
BTS_fall_allbox_effic1,52,Blue_whiting,5140412.973108035,0.1
BTS_fall_allbox_effic1,53,Blue_whiting,4527530.348662428,0.1
BTS_fall_allbox_effic1,54,Blue_whiting,4605012.055139432,0.1
BTS_fall_allbox_effic1,55,Blue_whiting,5699027.643096449,0.1
BTS_fall_allbox_effic1,56,Blue_whiting,5806851.815715696,0.1
BTS_fall_allbox_effic1,57,Blue_whiting,7335717.614874787,0.1
BTS_fall_allbox_effic1,58,Blue_whiting,6895626.278015917,0.1
BTS_fall_allbox_effic1,59,Blue_whiting,7205917.666896739,0.1
BTS_fall_allbox_effic1,60,Blue_whiting,8357333.137402879,0.1
BTS_fall_allbox_effic1,61,Blue_whiting,7058340.114801446,0.1
