year,species,prey,totdietComp
1,Blue_whiting,Capelin,0.03182280198689592
1,Blue_whiting,Large_phytop,0.0012924306427172883
1,Blue_whiting,Large_zooplankton,0.1741392135028134
1,Blue_whiting,Medium_zooplankton,0.5662498489868323
1,Blue_whiting,Mesop_fish,0.17702573890306175
1,Blue_whiting,Norwegian_ssh,4.957716756209351e-5
1,Blue_whiting,Redfish,0.04938334642971928
1,Blue_whiting,Squid,3.7042380397986326e-5
2,Blue_whiting,Capelin,0.02573619931476862
2,Blue_whiting,Large_phytop,0.04621247275794795
2,Blue_whiting,Large_zooplankton,0.2155953120922888
2,Blue_whiting,Medium_zooplankton,0.5472427392021061
2,Blue_whiting,Mesop_fish,0.1562207782205898
2,Blue_whiting,Norwegian_ssh,6.231541537721295e-5
2,Blue_whiting,Redfish,0.008815593995001916
2,Blue_whiting,Squid,1.1458900191955811e-4
3,Blue_whiting,Capelin,0.018061553035354623
3,Blue_whiting,Large_phytop,0.0245716732667906
3,Blue_whiting,Large_zooplankton,0.2899039192352935
3,Blue_whiting,Medium_zooplankton,0.47284893088700547
3,Blue_whiting,Mesop_fish,0.18587293773746125
3,Blue_whiting,Norwegian_ssh,1.0220749749655883e-4
3,Blue_whiting,Redfish,0.008525414400823286
3,Blue_whiting,Squid,1.1336393977468044e-4
4,Blue_whiting,Capelin,0.008225251858463305
4,Blue_whiting,Large_phytop,0.004054342639656539
4,Blue_whiting,Large_zooplankton,0.33852646598376956
4,Blue_whiting,Medium_zooplankton,0.41754047900081315
4,Blue_whiting,Mesop_fish,0.20419809668630293
4,Blue_whiting,Norwegian_ssh,1.460740344220912e-4
4,Blue_whiting,Redfish,0.027211384884137362
4,Blue_whiting,Squid,9.790491243491731e-5
5,Blue_whiting,Capelin,0.005111283673743639
5,Blue_whiting,Large_phytop,0.002005365566460906
5,Blue_whiting,Large_zooplankton,0.3444192992339707
5,Blue_whiting,Medium_zooplankton,0.3954467761110991
5,Blue_whiting,Mesop_fish,0.22660253379614592
5,Blue_whiting,Norwegian_ssh,1.468034569333244e-4
5,Blue_whiting,Redfish,0.02617586042005618
5,Blue_whiting,Squid,9.207774159024698e-5
6,Blue_whiting,Capelin,0.0044208752042633696
6,Blue_whiting,Large_phytop,0.003476962858451313
6,Blue_whiting,Large_zooplankton,0.33130208675901607
6,Blue_whiting,Medium_zooplankton,0.3847274417170437
6,Blue_whiting,Mesop_fish,0.2520271587728636
6,Blue_whiting,Norwegian_ssh,1.6218987037148235e-4
6,Blue_whiting,Redfish,0.02379345836665563
6,Blue_whiting,Squid,8.9826451334915e-5
7,Blue_whiting,Capelin,0.0033247998896250566
7,Blue_whiting,Large_phytop,0.004274116083492315
7,Blue_whiting,Large_zooplankton,0.3381202322265894
7,Blue_whiting,Medium_zooplankton,0.36220035644728615
7,Blue_whiting,Mesop_fish,0.2714555617652282
7,Blue_whiting,Norwegian_ssh,1.2382170740751877e-4
7,Blue_whiting,Redfish,0.020413740800414
7,Blue_whiting,Squid,8.737107995728235e-5
8,Blue_whiting,Capelin,0.005355665385839891
8,Blue_whiting,Large_phytop,0.005420339839565288
8,Blue_whiting,Large_zooplankton,0.3187907971101659
8,Blue_whiting,Medium_zooplankton,0.34082539955274627
8,Blue_whiting,Mesop_fish,0.309873375456757
8,Blue_whiting,Norwegian_ssh,1.380435292465523e-4
8,Blue_whiting,Redfish,0.019506066953644638
8,Blue_whiting,Squid,9.031217203449704e-5
9,Blue_whiting,Capelin,0.005924800369772061
9,Blue_whiting,Large_phytop,0.005617135034565212
9,Blue_whiting,Large_zooplankton,0.30834139973165575
9,Blue_whiting,Medium_zooplankton,0.3232907001455682
9,Blue_whiting,Mesop_fish,0.3383602890425688
9,Blue_whiting,Norwegian_ssh,1.428142482689925e-4
9,Blue_whiting,Redfish,0.01823220490286628
9,Blue_whiting,Squid,9.065652473462117e-5
10,Blue_whiting,Capelin,0.003955256245113082
10,Blue_whiting,Large_phytop,0.007374786388357402
10,Blue_whiting,Large_zooplankton,0.30568180534896155
10,Blue_whiting,Medium_zooplankton,0.3063716108877555
10,Blue_whiting,Mesop_fish,0.36060899976196703
10,Blue_whiting,Norwegian_ssh,1.8001826038264228e-4
10,Blue_whiting,Redfish,0.01573828477390316
10,Blue_whiting,Squid,8.923833355959642e-5
11,Blue_whiting,Capelin,0.005971990529836402
11,Blue_whiting,Large_phytop,0.0035985145151573128
11,Blue_whiting,Large_zooplankton,0.3119381268601346
11,Blue_whiting,Medium_zooplankton,0.3200820540319895
11,Blue_whiting,Mesop_fish,0.34121243804670126
11,Blue_whiting,Norwegian_ssh,2.0521060928429182e-4
11,Blue_whiting,Redfish,0.016897803790736816
11,Blue_whiting,Squid,9.386161615969448e-5
12,Blue_whiting,Capelin,0.004305914058949839
12,Blue_whiting,Large_phytop,0.003220949047504387
12,Blue_whiting,Large_zooplankton,0.33134958117815577
12,Blue_whiting,Medium_zooplankton,0.3206588484882065
12,Blue_whiting,Mesop_fish,0.3222834427427532
12,Blue_whiting,Norwegian_ssh,2.2724690928522002e-4
12,Blue_whiting,Redfish,0.017847421475990513
12,Blue_whiting,Squid,1.065960991545603e-4
13,Blue_whiting,Capelin,0.006059892031676337
13,Blue_whiting,Large_phytop,0.00268256249804504
13,Blue_whiting,Large_zooplankton,0.33280879947677816
13,Blue_whiting,Medium_zooplankton,0.325400177502738
13,Blue_whiting,Mesop_fish,0.31524563800796
13,Blue_whiting,Norwegian_ssh,2.8809396347973947e-4
13,Blue_whiting,Redfish,0.017405584593229804
13,Blue_whiting,Squid,1.0925192609293587e-4
14,Blue_whiting,Capelin,0.0078123069708466485
14,Blue_whiting,Large_phytop,0.002228107406210413
14,Blue_whiting,Large_zooplankton,0.33146824512024625
14,Blue_whiting,Medium_zooplankton,0.3348232749468227
14,Blue_whiting,Mesop_fish,0.3032157614652457
14,Blue_whiting,Norwegian_ssh,2.2203303537591e-4
14,Blue_whiting,Redfish,0.02009913501471135
14,Blue_whiting,Squid,1.3113604054107962e-4
15,Blue_whiting,Capelin,0.005148291439625235
15,Blue_whiting,Large_phytop,0.002340011864911068
15,Blue_whiting,Large_zooplankton,0.344267681520218
15,Blue_whiting,Medium_zooplankton,0.3278519393719267
15,Blue_whiting,Mesop_fish,0.29802896598970685
15,Blue_whiting,Norwegian_ssh,1.7073023330885863e-4
15,Blue_whiting,Redfish,0.022074593794728044
15,Blue_whiting,Squid,1.1778578557515024e-4
16,Blue_whiting,Capelin,0.005789952524367389
16,Blue_whiting,Large_phytop,0.001959517717071567
16,Blue_whiting,Large_zooplankton,0.3453814599621397
16,Blue_whiting,Medium_zooplankton,0.3339709106010805
16,Blue_whiting,Mesop_fish,0.28975620565596805
16,Blue_whiting,Norwegian_ssh,1.6453208323472925e-4
16,Blue_whiting,Redfish,0.022871935167381445
16,Blue_whiting,Squid,1.0548628875655907e-4
17,Blue_whiting,Capelin,0.007471190300303498
17,Blue_whiting,Large_phytop,0.002229463757256405
17,Blue_whiting,Large_zooplankton,0.3437242731915832
17,Blue_whiting,Medium_zooplankton,0.33364950140354804
17,Blue_whiting,Mesop_fish,0.28852940882496464
17,Blue_whiting,Norwegian_ssh,1.87040946897066e-4
17,Blue_whiting,Redfish,0.024103616375075573
17,Blue_whiting,Squid,1.05505200371552e-4
18,Blue_whiting,Capelin,0.005510364721471439
18,Blue_whiting,Large_phytop,0.0023156637403172887
18,Blue_whiting,Large_zooplankton,0.34617205991843514
18,Blue_whiting,Medium_zooplankton,0.33871749697026654
18,Blue_whiting,Mesop_fish,0.28530717449708887
18,Blue_whiting,Norwegian_ssh,2.3556927118465905e-4
18,Blue_whiting,Redfish,0.021631768181317197
18,Blue_whiting,Squid,1.0990269991883115e-4
19,Blue_whiting,Capelin,0.0067941385877457175
19,Blue_whiting,Large_phytop,0.0026171661547930384
19,Blue_whiting,Large_zooplankton,0.3412392406816196
19,Blue_whiting,Medium_zooplankton,0.33666408007446974
19,Blue_whiting,Mesop_fish,0.28861015665086753
19,Blue_whiting,Norwegian_ssh,2.226198126967953e-4
19,Blue_whiting,Redfish,0.02375196555393417
19,Blue_whiting,Squid,1.0063248387340243e-4
20,Blue_whiting,Capelin,0.007780156010230948
20,Blue_whiting,Large_phytop,0.003400413716760723
20,Blue_whiting,Large_zooplankton,0.33832838982666863
20,Blue_whiting,Medium_zooplankton,0.33401686850236373
20,Blue_whiting,Mesop_fish,0.29386787099914524
20,Blue_whiting,Norwegian_ssh,2.0918301561572488e-4
20,Blue_whiting,Redfish,0.02229962566737635
20,Blue_whiting,Squid,9.749226183873043e-5
21,Blue_whiting,Capelin,0.007915187296694267
21,Blue_whiting,Large_phytop,0.004219007375184035
21,Blue_whiting,Large_zooplankton,0.334258627417932
21,Blue_whiting,Medium_zooplankton,0.33184762455209044
21,Blue_whiting,Mesop_fish,0.2992425297118614
21,Blue_whiting,Norwegian_ssh,2.616338491654653e-4
21,Blue_whiting,Redfish,0.02215866534875638
21,Blue_whiting,Squid,9.672444831593909e-5
22,Blue_whiting,Capelin,0.006034763646595669
22,Blue_whiting,Large_phytop,0.006682548775283425
22,Blue_whiting,Large_zooplankton,0.33383667423586255
22,Blue_whiting,Medium_zooplankton,0.32567035945026473
22,Blue_whiting,Mesop_fish,0.30632562507304123
22,Blue_whiting,Norwegian_ssh,2.4474759661233724e-4
22,Blue_whiting,Redfish,0.02111099703324114
22,Blue_whiting,Squid,9.428418909892797e-5
23,Blue_whiting,Capelin,0.007258039306959422
23,Blue_whiting,Large_phytop,0.007682071574682563
23,Blue_whiting,Large_zooplankton,0.3229335333625455
23,Blue_whiting,Medium_zooplankton,0.32080264903318584
23,Blue_whiting,Mesop_fish,0.31861264102880027
23,Blue_whiting,Norwegian_ssh,2.566169654706636e-4
23,Blue_whiting,Redfish,0.022359396768081175
23,Blue_whiting,Squid,9.505196027458207e-5
24,Blue_whiting,Capelin,0.006685052142258767
24,Blue_whiting,Large_phytop,0.01115654287940862
24,Blue_whiting,Large_zooplankton,0.3177099852381116
